TransactionID,Date,CustomerID,Age,Gender,Location,ProductID,Category,Quantity, UnitPrice , Sales ,PaymentType,PromotionApplied,DiscountAmount,Total Amount,GiftWrap,Event,CustomerSatisfaction,ReturnFlag
1,24-12-2020,441,27,Other,City_15,106,Toys,5, $96.79 , $483.93 ,Credit Card,FALSE,0, $483.93 ,FALSE,None,5,FALSE
2,18-11-2022,340,43,Male,City_13,816,Clothing,1, $95.28 , $95.28 ,Credit Card,TRUE,0, $95.28 ,TRUE,None,2,TRUE
3,26-12-2019,31,25,Other,City_7,508,Clothing,2, $52.37 , $104.74 ,Credit Card,FALSE,0, $104.74 ,FALSE,Christmas Market,4,FALSE
4,13-11-2018,39,64,Male,City_20,710,Toys,5, $63.65 , $318.24 ,Debit Card,FALSE,0, $318.24 ,TRUE,None,1,TRUE
5,13-12-2020,344,26,Other,City_10,687,Toys,3, $57.38 , $172.15 ,Cash,FALSE,0, $172.15 ,TRUE,Christmas Market,4,FALSE
6,26-11-2018,307,18,Male,City_4,589,Decorations,1, $81.06 , $81.06 ,Online Payment,TRUE,8.105898582, $72.95 ,TRUE,Black Friday,3,TRUE
7,08-12-2020,368,63,Female,City_3,158,Food,3, $48.16 , $144.47 ,Online Payment,FALSE,0, $144.47 ,TRUE,Christmas Market,3,TRUE
8,03-12-2020,121,48,Other,City_1,829,Clothing,3, $97.07 , $291.21 ,Cash,TRUE,29.12079463, $262.09 ,FALSE,Black Friday,5,FALSE
9,10-11-2020,464,58,Other,City_19,987,Decorations,2, $34.14 , $68.28 ,Debit Card,TRUE,6.828448849, $61.46 ,FALSE,Black Friday,1,FALSE
10,16-11-2019,252,41,Female,City_16,470,Clothing,1, $37.05 , $37.05 ,Debit Card,FALSE,3.704606705, $33.34 ,FALSE,Black Friday,2,TRUE
11,06-12-2019,302,50,Female,City_13,670,Toys,5, $91.88 , $459.39 ,Debit Card,FALSE,0, $459.39 ,FALSE,Christmas Market,4,TRUE
12,11-11-2021,300,51,Other,City_13,755,Decorations,1, $26.90 , $26.90 ,Online Payment,FALSE,0, $26.90 ,TRUE,Christmas Market,5,FALSE
13,04-11-2022,175,20,Male,City_15,95,Electronics,3, $48.97 , $146.92 ,Credit Card,FALSE,14.69235934, $132.23 ,FALSE,Black Friday,4,FALSE
14,07-11-2020,417,62,Female,City_5,460,Decorations,1, $80.48 , $80.48 ,Debit Card,TRUE,0, $80.48 ,TRUE,Christmas Market,4,TRUE
15,28-12-2018,231,66,Female,City_11,609,Electronics,3, $37.22 , $111.66 ,Debit Card,TRUE,0, $111.66 ,TRUE,Christmas Market,3,TRUE
16,24-12-2018,216,51,Male,City_2,540,Electronics,2, $92.89 , $185.79 ,Credit Card,TRUE,0, $185.79 ,FALSE,None,2,FALSE
17,20-12-2019,447,23,Other,City_17,346,Clothing,1, $47.17 , $47.17 ,Cash,FALSE,0, $47.17 ,FALSE,Christmas Market,1,TRUE
18,11-11-2021,60,44,Other,City_20,488,Toys,1, $91.26 , $91.26 ,Debit Card,FALSE,0, $91.26 ,FALSE,None,1,FALSE
19,13-12-2018,450,52,Other,City_14,332,Decorations,3, $20.88 , $62.64 ,Online Payment,TRUE,0, $62.64 ,TRUE,Christmas Market,5,FALSE
20,29-12-2020,75,52,Female,City_2,267,Toys,4, $82.68 , $330.70 ,Credit Card,TRUE,33.0700031, $297.63 ,TRUE,Black Friday,2,FALSE
21,24-12-2022,315,37,Female,City_10,722,Decorations,2, $48.98 , $97.96 ,Debit Card,FALSE,0, $97.96 ,FALSE,Christmas Market,3,TRUE
22,28-11-2018,295,27,Female,City_3,138,Clothing,4, $20.70 , $82.80 ,Cash,TRUE,8.280041237, $74.52 ,FALSE,Black Friday,4,FALSE
23,27-12-2020,354,44,Male,City_10,526,Food,3, $36.73 , $110.18 ,Credit Card,FALSE,11.01839261, $99.17 ,TRUE,Black Friday,2,FALSE
24,18-11-2019,170,27,Female,City_12,521,Electronics,3, $20.34 , $61.02 ,Online Payment,FALSE,0, $61.02 ,TRUE,None,2,TRUE
25,30-11-2023,154,56,Other,City_16,251,Clothing,3, $16.15 , $48.46 ,Credit Card,FALSE,4.845943008, $43.61 ,FALSE,Black Friday,3,FALSE
26,24-12-2018,113,18,Male,City_9,648,Decorations,2, $29.33 , $58.66 ,Credit Card,FALSE,5.865991254, $52.79 ,TRUE,Black Friday,2,FALSE
27,06-12-2021,19,35,Male,City_20,696,Decorations,2, $41.35 , $82.70 ,Credit Card,TRUE,0, $82.70 ,FALSE,None,1,TRUE
28,03-12-2019,52,51,Male,City_6,917,Electronics,2, $18.30 , $36.60 ,Credit Card,TRUE,3.660121294, $32.94 ,TRUE,Black Friday,4,TRUE
29,05-12-2022,97,55,Other,City_8,237,Toys,4, $42.41 , $169.63 ,Credit Card,TRUE,0, $169.63 ,TRUE,Christmas Market,3,TRUE
30,23-11-2021,163,61,Male,City_9,605,Food,3, $55.87 , $167.60 ,Cash,FALSE,16.75950833, $150.84 ,FALSE,Black Friday,1,FALSE
31,20-12-2018,497,54,Other,City_13,866,Decorations,2, $35.50 , $71.00 ,Cash,TRUE,0, $71.00 ,FALSE,None,5,TRUE
32,23-12-2020,393,41,Female,City_9,618,Clothing,2, $23.49 , $46.98 ,Cash,FALSE,0, $46.98 ,TRUE,Christmas Market,4,TRUE
